trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
0,COMPLETE,0.5893028730638453,0.10368123399194032,2000,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07,3
1,COMPLETE,0.5276378883246646,0.08205004996566083,1600,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07,6
2,COMPLETE,0.6296345850906153,0.08075054976173758,800,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936,4
3,COMPLETE,0.5564887694379551,0.049718985614238057,700,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05,4
4,COMPLETE,0.545774917525046,0.08032322288122058,500,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07,7
5,PRUNED,0.5935106918730952,,2800,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892,-1
6,PRUNED,0.705650936547203,,2800,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07,7
7,COMPLETE,0.4987050456731758,0.06323122592500022,2500,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416,-1
8,PRUNED,0.6244557816873583,,1800,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06,8
9,COMPLETE,0.4999662853974128,0.07051133570700742,800,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788,8
10,PRUNED,0.6115880647496803,,2300,0.1787420026976868,24,5,0.5193625999805914,0.975862447567252,37.80747516031668,10.352501001707477,5
11,COMPLETE,0.49798252358098355,0.06984828530159429,1200,0.018597283282763298,61,11,0.7409481648316648,0.8716448625177555,0.0025910223171523522,0.44411365237381617,-1
12,PRUNED,0.6941467229656432,,1400,0.017603882995810383,46,6,0.7042257209786791,0.6546984799111754,0.001438199276284204,17.25714824694535,-1
13,PRUNED,0.5403635588784598,,1200,0.005668556987876377,40,16,0.5127747474052715,0.9239870037577447,0.4999558033625193,0.20913743590562375,-1
14,PRUNED,0.6155443149195626,,2400,0.14541732629077195,63,28,0.6201424721738792,0.6707693675530373,3.361843100961712,0.07825066960080047,10
15,PRUNED,0.6010306777930229,,1100,0.01945966304406648,53,13,0.7498651102346463,0.779590747337984,0.0011827223934645777,0.8352163847302402,-1
16,PRUNED,0.6913357255239468,,2400,0.005668645112939297,38,34,0.5699799075096479,0.8405864541996997,42.894493937549996,0.005861700073815664,-1
17,COMPLETE,0.5069390552057856,0.055045635290274425,3000,0.05021236735584221,8,10,0.6900913631930553,0.6204411482230936,0.10408775034178816,1.6954394388646967,3
18,COMPLETE,0.5096808884528556,0.06679583303186455,2000,0.04535138783951744,33,24,0.7507285077111834,0.7201212360311999,0.9265734753473168,0.005478746334124282,6
19,PRUNED,0.5982168857683692,,1200,0.009169274770698147,21,19,0.5752933364244929,0.9098084201459646,0.0062640976591407235,0.009910101835633213,10
